what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325935313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325942809
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1453325950373
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1453325950669
error,log,,,"Invalid project description.",1453325965849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325965886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1453325965894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453325971383
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453325971410
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1453325971432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453325977224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453326003446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1453326003454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1453326003454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453326004989
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1453326008363
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1453326008458
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1453326008561
started,bundle,de.innot.avreclipse.ui,2.4.1,"de.innot.avreclipse.ui",1453326008683
started,bundle,de.innot.avreclipse.core,2.4.1,"de.innot.avreclipse.core",1453326008690
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1453326016104
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1453326016282
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1453326016950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453326017406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453326020587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453326025108
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1453326027896
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1453326027903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453326033201
